Attendee_ID,Event_ID,Registration_Date,Event_Date,Event_Type,Location,Topic,Career_Stage,Geographic_Region,CAS_Credential_Status,First_Time_Attendee_Flag,Member_Status
A0135,E058,2023-06-07,2024-03-26,Webinar,Online,Topic 1,Mid-Career,North East,Credentialed,False,Member
A0496,E039,2023-07-04,2023-12-11,Workshop,New York,Topic 5,Entry-Level,International,Associate,False,Member
A0631,E067,2022-08-02,2023-03-14,Local Chapter Event,San Francisco,Topic 2,Mid-Career,International,Non-Member,True,Non-Member
A0820,E101,2023-01-29,2023-05-31,Webinar,Online,Topic 16,Senior,Mid-West,Associate,False,Member
A0743,E106,2022-10-07,2023-05-14,Webinar,Online,Topic 17,Mid-Career,North East,Non-Member,False,Non-Member
A0982,E152,2022-08-07,2023-11-08,Webinar,Online,Topic 19,Mid-Career,North East,Credentialed,False,Member
A0569,E062,2023-04-12,2024-05-27,Workshop,San Francisco,Topic 16,Executive,North East,Credentialed,False,Member
A0839,E090,2022-01-31,2023-10-19,Workshop,San Francisco,Topic 5,Mid-Career,South,Non-Member,False,Non-Member
A0359,E151,2022-08-23,2024-02-10,Webinar,Online,Topic 5,Executive,Mid-West,Credentialed,True,Member
A0180,E034,2022-06-13,2023-04-30,Seminar,Miami,Topic 15,Senior,North East,Credentialed,False,Member
A0783,E120,2023-05-26,2023-07-23,Seminar,Miami,Topic 10,Senior,Mid-West,Credentialed,False,Member
A0365,E097,2022-03-25,2024-06-30,Annual Meeting,Miami,Topic 7,Senior,West,Credentialed,False,Member
A0225,E156,2022-04-29,2022-06-03,Workshop,San Francisco,Topic 18,Entry-Level,South,Non-Member,True,Non-Member
A0482,E192,2023-10-22,2023-10-24,Seminar,Houston,Topic 11,Executive,West,Credentialed,False,Member
A0107,E126,2022-01-21,2022-01-29,Annual Meeting,San Francisco,Topic 8,Mid-Career,North East,Credentialed,True,Member
A0585,E101,2022-07-30,2023-05-31,Webinar,Online,Topic 16,Entry-Level,International,Non-Member,False,Non-Member
A0604,E125,2022-03-15,2022-06-19,Workshop,San Francisco,Topic 2,Entry-Level,International,Non-Member,True,Non-Member
A0992,E123,2022-07-06,2023-08-11,Webinar,Online,Topic 12,Mid-Career,North East,Associate,False,Member
A0856,E013,2022-02-21,2024-08-13,Seminar,Miami,Topic 8,Executive,Mid-West,Associate,False,Member
A0787,E149,2022-03-25,2022-04-15,Workshop,New York,Topic 16,Mid-Career,South,Credentialed,True,Member
A0280,E026,2022-05-01,2022-08-19,Webinar,Online,Topic 7,Executive,International,Non-Member,False,Non-Member
A0082,E100,2022-10-01,2023-03-18,Workshop,Miami,Topic 13,Senior,North East,Non-Member,False,Non-Member
A0349,E196,2022-01-02,2022-01-04,Annual Meeting,New York,Topic 6,Mid-Career,South,Non-Member,True,Non-Member
A0991,E067,2022-03-31,2023-03-14,Local Chapter Event,San Francisco,Topic 2,Entry-Level,South,Credentialed,False,Member
A0433,E198,2022-04-10,2024-04-26,Workshop,Chicago,Topic 19,Senior,South,Credentialed,False,Member
A0539,E089,2022-09-15,2022-09-26,Local Chapter Event,Chicago,Topic 19,Student,West,Credentialed,True,Member
A0189,E103,2023-11-09,2023-11-21,Webinar,Online,Topic 1,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0819,E015,2022-04-25,2024-10-22,Workshop,Chicago,Topic 4,Senior,South,Credentialed,False,Member
A0339,E056,2022-12-26,2024-06-15,Annual Meeting,Houston,Topic 5,Mid-Career,West,Credentialed,False,Member
A0650,E102,2022-06-19,2022-09-15,Annual Meeting,San Francisco,Topic 12,Mid-Career,North East,Credentialed,True,Member
A0199,E031,2024-01-14,2024-10-25,Webinar,Online,Topic 14,Entry-Level,South,Non-Member,False,Non-Member
A0472,E023,2022-10-24,2023-10-10,Annual Meeting,San Francisco,Topic 19,Senior,Mid-West,Credentialed,False,Member
A0006,E038,2022-01-28,2022-07-09,Seminar,New York,Topic 13,Entry-Level,Mid-West,Credentialed,False,Member
A0203,E069,2022-09-02,2024-08-17,Local Chapter Event,Houston,Topic 16,Mid-Career,West,Credentialed,False,Member
A0327,E047,2022-04-21,2022-07-17,Workshop,New York,Topic 9,Student,North East,Associate,False,Member
A0013,E139,2022-03-15,2024-11-01,Local Chapter Event,Houston,Topic 8,Student,North East,Non-Member,False,Non-Member
A0746,E004,2022-10-02,2022-12-10,Webinar,Online,Topic 6,Entry-Level,South,Credentialed,False,Member
A0555,E161,2022-05-05,2024-02-03,Local Chapter Event,Chicago,Topic 2,Mid-Career,International,Non-Member,False,Non-Member
A0010,E073,2022-06-06,2022-10-07,Workshop,Miami,Topic 3,Student,South,Non-Member,True,Non-Member
A0060,E131,2023-03-19,2024-01-24,Workshop,Chicago,Topic 8,Entry-Level,South,Credentialed,False,Member
A0217,E143,2022-07-26,2023-04-06,Webinar,Online,Topic 13,Entry-Level,West,Credentialed,True,Member
A0832,E199,2022-01-25,2022-06-22,Webinar,Online,Topic 6,Student,International,Credentialed,True,Member
A0167,E191,2022-03-07,2022-11-11,Local Chapter Event,Miami,Topic 1,Senior,International,Non-Member,True,Non-Member
A0888,E004,2022-09-15,2022-12-10,Webinar,Online,Topic 6,Entry-Level,International,Associate,False,Member
A0747,E050,2022-05-20,2022-05-27,Workshop,Houston,Topic 9,Mid-Career,West,Non-Member,True,Non-Member
A0074,E187,2022-06-14,2022-08-21,Workshop,Houston,Topic 15,Entry-Level,Mid-West,Credentialed,True,Member
A0568,E111,2022-01-22,2023-04-02,Webinar,Online,Topic 3,Entry-Level,Mid-West,Associate,False,Member
A0141,E009,2022-03-12,2024-04-11,Workshop,Miami,Topic 19,Mid-Career,South,Non-Member,False,Non-Member
A0385,E118,2022-02-26,2022-05-24,Workshop,San Francisco,Topic 12,Mid-Career,South,Credentialed,True,Member
A0640,E175,2023-03-19,2023-06-30,Seminar,Chicago,Topic 13,Senior,International,Associate,False,Member
A0804,E032,2023-07-15,2024-05-20,Annual Meeting,Chicago,Topic 10,Mid-Career,North East,Non-Member,False,Non-Member
A0714,E081,2022-03-02,2023-11-16,Seminar,Houston,Topic 19,Entry-Level,Mid-West,Credentialed,False,Member
A0397,E001,2024-03-12,2024-05-10,Seminar,Miami,Topic 7,Mid-Career,South,Credentialed,False,Member
A0038,E025,2022-03-01,2022-10-16,Webinar,Online,Topic 10,Senior,West,Credentialed,False,Member
A0988,E161,2022-06-08,2024-02-03,Local Chapter Event,Chicago,Topic 2,Mid-Career,North East,Associate,False,Member
A0569,E177,2023-03-10,2024-12-15,Local Chapter Event,Miami,Topic 17,Executive,North East,Credentialed,False,Member
A0431,E056,2022-03-11,2024-06-15,Annual Meeting,Houston,Topic 5,Senior,West,Non-Member,False,Non-Member
A0413,E178,2023-02-25,2024-11-15,Local Chapter Event,New York,Topic 3,Mid-Career,West,Credentialed,False,Member
A0573,E017,2022-05-29,2022-06-11,Workshop,Houston,Topic 14,Mid-Career,International,Associate,False,Member
A0434,E131,2023-07-17,2024-01-24,Workshop,Chicago,Topic 8,Senior,South,Credentialed,False,Member
A0271,E161,2022-09-05,2024-02-03,Local Chapter Event,Chicago,Topic 2,Senior,International,Associate,False,Member
A0148,E024,2023-01-10,2023-08-16,Webinar,Online,Topic 3,Mid-Career,North East,Credentialed,True,Member
A0080,E094,2022-03-30,2024-06-15,Local Chapter Event,Miami,Topic 3,Entry-Level,North East,Associate,True,Member
A0088,E145,2022-03-03,2023-03-26,Annual Meeting,Chicago,Topic 13,Student,Mid-West,Associate,False,Member
A0783,E094,2022-08-03,2024-06-15,Local Chapter Event,Miami,Topic 3,Senior,Mid-West,Credentialed,False,Member
A0074,E061,2022-08-08,2023-05-25,Local Chapter Event,New York,Topic 18,Entry-Level,Mid-West,Credentialed,False,Member
A0012,E046,2022-02-02,2022-05-03,Seminar,Miami,Topic 2,Senior,West,Non-Member,True,Non-Member
A0772,E052,2022-04-23,2023-10-03,Webinar,Online,Topic 18,Entry-Level,West,Associate,False,Member
A0980,E036,2023-01-19,2023-08-01,Webinar,Online,Topic 6,Entry-Level,South,Credentialed,False,Member
A0017,E075,2022-04-16,2022-05-08,Workshop,Chicago,Topic 3,Entry-Level,South,Associate,True,Member
A0486,E150,2022-04-26,2024-04-02,Local Chapter Event,New York,Topic 5,Entry-Level,West,Non-Member,False,Non-Member
A0795,E037,2023-07-02,2024-03-06,Webinar,Online,Topic 12,Entry-Level,South,Credentialed,False,Member
A0644,E080,2024-01-11,2024-04-07,Workshop,New York,Topic 4,Mid-Career,West,Associate,False,Member
A0570,E063,2023-03-26,2024-08-14,Seminar,New York,Topic 4,Student,Mid-West,Non-Member,False,Non-Member
A0428,E100,2022-11-19,2023-03-18,Workshop,Miami,Topic 13,Mid-Career,International,Credentialed,True,Member
A0913,E168,2022-07-09,2022-07-24,Seminar,San Francisco,Topic 16,Entry-Level,South,Credentialed,True,Member
A0002,E106,2023-03-04,2023-05-14,Webinar,Online,Topic 17,Entry-Level,International,Associate,False,Member
A0638,E170,2022-12-04,2024-06-18,Seminar,New York,Topic 3,Senior,International,Associate,False,Member
A0999,E195,2023-10-16,2024-07-08,Seminar,Chicago,Topic 11,Mid-Career,Mid-West,Associate,False,Member
A0616,E086,2022-03-29,2023-03-20,Workshop,Miami,Topic 12,Student,North East,Credentialed,False,Member
A0770,E178,2024-02-06,2024-11-15,Local Chapter Event,New York,Topic 3,Executive,North East,Associate,False,Member
A0384,E135,2022-02-18,2022-02-27,Annual Meeting,Miami,Topic 15,Entry-Level,International,Non-Member,True,Non-Member
A0126,E047,2022-07-01,2022-07-17,Workshop,New York,Topic 9,Entry-Level,Mid-West,Associate,True,Member
A0619,E049,2023-08-31,2023-10-22,Workshop,Houston,Topic 19,Student,South,Credentialed,False,Member
A0780,E023,2022-08-24,2023-10-10,Annual Meeting,San Francisco,Topic 19,Entry-Level,West,Associate,False,Member
A0996,E059,2022-08-05,2023-09-20,Annual Meeting,Houston,Topic 6,Senior,Mid-West,Credentialed,False,Member
A0183,E057,2022-11-08,2024-11-26,Local Chapter Event,New York,Topic 9,Mid-Career,West,Non-Member,True,Non-Member
A0557,E001,2023-06-18,2024-05-10,Seminar,Miami,Topic 7,Executive,Mid-West,Associate,False,Member
A0052,E082,2022-03-09,2023-04-16,Annual Meeting,Chicago,Topic 2,Entry-Level,North East,Associate,False,Member
A0975,E069,2022-01-29,2024-08-17,Local Chapter Event,Houston,Topic 16,Mid-Career,International,Credentialed,False,Member
A0949,E116,2022-09-18,2023-03-21,Local Chapter Event,Houston,Topic 9,Entry-Level,South,Associate,True,Member
A0591,E017,2022-03-16,2022-06-11,Workshop,Houston,Topic 14,Mid-Career,North East,Credentialed,True,Member
A0687,E184,2022-01-02,2022-01-28,Annual Meeting,New York,Topic 17,Senior,North East,Credentialed,True,Member
A0291,E064,2023-04-25,2024-03-11,Workshop,Houston,Topic 8,Mid-Career,International,Non-Member,False,Non-Member
A0571,E001,2024-03-16,2024-05-10,Seminar,Miami,Topic 7,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0189,E122,2022-08-30,2024-01-03,Workshop,Chicago,Topic 15,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0782,E161,2023-01-23,2024-02-03,Local Chapter Event,Chicago,Topic 2,Mid-Career,West,Non-Member,False,Non-Member
A0471,E085,2023-03-29,2023-11-13,Webinar,Online,Topic 11,Student,South,Credentialed,False,Member
A0041,E122,2023-08-24,2024-01-03,Workshop,Chicago,Topic 15,Entry-Level,North East,Associate,False,Member
A0267,E029,2023-03-28,2023-11-15,Webinar,Online,Topic 3,Mid-Career,South,Associate,False,Member
A0449,E061,2022-06-24,2023-05-25,Local Chapter Event,New York,Topic 18,Student,South,Associate,True,Member
A0945,E022,2022-05-23,2023-06-05,Webinar,Online,Topic 12,Senior,Mid-West,Non-Member,False,Non-Member
A0044,E144,2022-02-25,2023-01-25,Local Chapter Event,Miami,Topic 15,Senior,North East,Credentialed,True,Member
A0307,E102,2022-06-11,2022-09-15,Annual Meeting,San Francisco,Topic 12,Entry-Level,West,Associate,True,Member
A0985,E112,2023-12-19,2024-09-04,Seminar,Miami,Topic 12,Mid-Career,South,Non-Member,True,Non-Member
A0564,E138,2023-07-08,2023-10-18,Webinar,Online,Topic 11,Entry-Level,International,Associate,False,Member
A0479,E077,2023-07-19,2024-02-24,Webinar,Online,Topic 9,Mid-Career,North East,Associate,True,Member
A0930,E177,2023-08-23,2024-12-15,Local Chapter Event,Miami,Topic 17,Senior,International,Associate,False,Member
A0621,E141,2022-09-06,2023-06-24,Annual Meeting,New York,Topic 4,Mid-Career,Mid-West,Non-Member,False,Non-Member
A0581,E120,2022-11-24,2023-07-23,Seminar,Miami,Topic 10,Mid-Career,South,Associate,True,Member
A0920,E191,2022-07-09,2022-11-11,Local Chapter Event,Miami,Topic 1,Executive,Mid-West,Associate,False,Member
A0663,E030,2023-09-01,2024-08-18,Workshop,San Francisco,Topic 1,Senior,North East,Non-Member,False,Non-Member
A0965,E113,2022-05-13,2022-10-06,Webinar,Online,Topic 9,Senior,North East,Associate,False,Member
A0482,E122,2022-02-09,2024-01-03,Workshop,Chicago,Topic 15,Executive,West,Credentialed,False,Member
A0566,E161,2023-06-13,2024-02-03,Local Chapter Event,Chicago,Topic 2,Mid-Career,West,Credentialed,False,Member
A0218,E087,2022-01-02,2022-01-05,Workshop,Miami,Topic 15,Mid-Career,South,Non-Member,True,Non-Member
A0500,E042,2024-01-17,2024-08-09,Annual Meeting,New York,Topic 2,Entry-Level,West,Associate,False,Member
A0841,E131,2022-08-07,2024-01-24,Workshop,Chicago,Topic 8,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0754,E078,2022-08-15,2022-09-03,Workshop,Miami,Topic 10,Entry-Level,South,Non-Member,False,Non-Member
A0481,E152,2023-09-17,2023-11-08,Webinar,Online,Topic 19,Entry-Level,North East,Associate,False,Member
A0918,E161,2023-05-28,2024-02-03,Local Chapter Event,Chicago,Topic 2,Mid-Career,International,Associate,False,Member
A0810,E009,2022-09-16,2024-04-11,Workshop,Miami,Topic 19,Senior,South,Non-Member,False,Non-Member
A0275,E020,2023-05-06,2024-12-12,Webinar,Online,Topic 13,Senior,North East,Credentialed,False,Member
A0733,E070,2022-03-31,2023-10-21,Webinar,Online,Topic 17,Mid-Career,West,Associate,True,Member
A0486,E196,2022-01-02,2022-01-04,Annual Meeting,New York,Topic 6,Entry-Level,West,Non-Member,True,Non-Member
A0387,E087,2022-01-03,2022-01-05,Workshop,Miami,Topic 15,Student,Mid-West,Credentialed,True,Member
A0440,E192,2023-02-26,2023-10-24,Seminar,Houston,Topic 11,Mid-Career,South,Non-Member,False,Non-Member
A0493,E121,2022-06-23,2024-07-23,Local Chapter Event,Chicago,Topic 5,Executive,South,Non-Member,False,Non-Member
A0004,E086,2022-04-21,2023-03-20,Workshop,Miami,Topic 12,Student,Mid-West,Associate,True,Member
A0031,E183,2022-01-12,2024-03-16,Workshop,New York,Topic 5,Mid-Career,International,Non-Member,False,Non-Member
A0342,E019,2022-07-04,2023-12-21,Webinar,Online,Topic 15,Student,West,Non-Member,True,Non-Member
A0782,E033,2022-07-12,2024-06-10,Seminar,New York,Topic 4,Mid-Career,West,Non-Member,False,Non-Member
A0320,E190,2023-09-30,2023-11-23,Webinar,Online,Topic 2,Mid-Career,Mid-West,Credentialed,False,Member
A0427,E080,2022-04-08,2024-04-07,Workshop,New York,Topic 4,Senior,South,Credentialed,False,Member
A0496,E019,2022-09-23,2023-12-21,Webinar,Online,Topic 15,Entry-Level,International,Associate,False,Member
A0009,E027,2022-02-15,2022-07-20,Webinar,Online,Topic 2,Executive,West,Non-Member,True,Non-Member
A0008,E146,2022-07-24,2024-10-25,Annual Meeting,New York,Topic 1,Mid-Career,South,Credentialed,False,Member
A0518,E041,2022-03-22,2023-03-18,Local Chapter Event,Chicago,Topic 3,Senior,International,Non-Member,False,Non-Member
A0786,E177,2022-12-06,2024-12-15,Local Chapter Event,Miami,Topic 17,Entry-Level,Mid-West,Non-Member,False,Non-Member
A0438,E189,2022-01-26,2024-01-18,Seminar,New York,Topic 5,Senior,International,Credentialed,False,Member
A0506,E069,2022-12-05,2024-08-17,Local Chapter Event,Houston,Topic 16,Executive,Mid-West,Credentialed,False,Member
A0690,E117,2022-04-22,2023-03-31,Local Chapter Event,Houston,Topic 19,Senior,West,Associate,True,Member
A0146,E125,2022-01-17,2022-06-19,Workshop,San Francisco,Topic 2,Entry-Level,South,Non-Member,True,Non-Member
A0848,E038,2022-03-20,2022-07-09,Seminar,New York,Topic 13,Entry-Level,Mid-West,Associate,False,Member
A0550,E150,2024-03-31,2024-04-02,Local Chapter Event,New York,Topic 5,Mid-Career,North East,Non-Member,False,Non-Member
A0345,E013,2024-02-13,2024-08-13,Seminar,Miami,Topic 8,Senior,International,Non-Member,False,Non-Member
A0268,E169,2022-02-03,2022-04-21,Seminar,San Francisco,Topic 16,Mid-Career,West,Credentialed,False,Member
A0377,E050,2022-05-18,2022-05-27,Workshop,Houston,Topic 9,Mid-Career,Mid-West,Credentialed,False,Member
A0173,E017,2022-02-16,2022-06-11,Workshop,Houston,Topic 14,Executive,North East,Credentialed,False,Member
A0067,E197,2022-01-24,2024-08-04,Webinar,Online,Topic 2,Senior,North East,Associate,False,Member
A0138,E077,2023-09-03,2024-02-24,Webinar,Online,Topic 9,Executive,North East,Credentialed,False,Member
A0695,E128,2023-08-22,2024-12-29,Webinar,Online,Topic 19,Student,International,Non-Member,True,Non-Member
A0768,E118,2022-01-03,2022-05-24,Workshop,San Francisco,Topic 12,Student,International,Associate,True,Member
A0171,E077,2023-12-07,2024-02-24,Webinar,Online,Topic 9,Senior,International,Credentialed,False,Member
A0465,E012,2022-04-06,2023-07-19,Seminar,Houston,Topic 15,Mid-Career,International,Non-Member,False,Non-Member
A0125,E041,2022-01-08,2023-03-18,Local Chapter Event,Chicago,Topic 3,Senior,West,Non-Member,True,Non-Member
A0471,E069,2023-06-27,2024-08-17,Local Chapter Event,Houston,Topic 16,Student,South,Credentialed,False,Member
A0585,E006,2022-07-28,2023-04-05,Webinar,Online,Topic 12,Entry-Level,International,Non-Member,True,Non-Member
A0213,E066,2022-10-21,2023-04-15,Seminar,Miami,Topic 19,Mid-Career,North East,Non-Member,False,Non-Member
A0207,E077,2022-02-17,2024-02-24,Webinar,Online,Topic 9,Student,International,Credentialed,False,Member
A0622,E200,2023-02-25,2024-04-15,Workshop,New York,Topic 17,Student,Mid-West,Credentialed,True,Member
A0154,E010,2022-06-07,2023-10-09,Seminar,Chicago,Topic 4,Mid-Career,South,Non-Member,False,Non-Member
A0261,E077,2023-05-04,2024-02-24,Webinar,Online,Topic 9,Entry-Level,Mid-West,Credentialed,False,Member
A0131,E067,2022-06-13,2023-03-14,Local Chapter Event,San Francisco,Topic 2,Student,International,Non-Member,False,Non-Member
A0015,E195,2022-12-26,2024-07-08,Seminar,Chicago,Topic 11,Senior,South,Associate,True,Member
A0486,E040,2022-11-27,2023-11-15,Seminar,San Francisco,Topic 9,Entry-Level,West,Non-Member,False,Non-Member
A0732,E121,2022-09-17,2024-07-23,Local Chapter Event,Chicago,Topic 5,Executive,North East,Credentialed,True,Member
A0292,E043,2023-09-20,2023-10-04,Workshop,Miami,Topic 1,Mid-Career,West,Credentialed,True,Member
A0365,E090,2023-04-27,2023-10-19,Workshop,San Francisco,Topic 5,Senior,West,Credentialed,True,Member
A0084,E077,2023-05-01,2024-02-24,Webinar,Online,Topic 9,Mid-Career,North East,Associate,False,Member
A0590,E091,2022-04-15,2022-04-27,Annual Meeting,New York,Topic 12,Entry-Level,South,Associate,True,Member
A0452,E083,2023-04-24,2023-12-28,Webinar,Online,Topic 19,Mid-Career,International,Credentialed,True,Member
A0723,E095,2022-02-23,2022-06-03,Workshop,Miami,Topic 14,Entry-Level,International,Credentialed,True,Member
A0077,E060,2022-03-16,2022-04-14,Webinar,Online,Topic 3,Senior,North East,Non-Member,True,Non-Member
A0624,E095,2022-01-28,2022-06-03,Workshop,Miami,Topic 14,Mid-Career,International,Credentialed,True,Member
A0070,E194,2022-03-19,2022-08-31,Annual Meeting,Miami,Topic 4,Entry-Level,North East,Associate,True,Member
A0947,E050,2022-01-02,2022-05-27,Workshop,Houston,Topic 9,Senior,West,Credentialed,True,Member
A0296,E160,2023-03-27,2023-08-01,Webinar,Online,Topic 7,Mid-Career,International,Credentialed,False,Member
A0721,E183,2022-07-08,2024-03-16,Workshop,New York,Topic 5,Student,International,Credentialed,True,Member
A0776,E086,2022-05-18,2023-03-20,Workshop,Miami,Topic 12,Student,Mid-West,Non-Member,False,Non-Member
A0602,E059,2022-03-14,2023-09-20,Annual Meeting,Houston,Topic 6,Mid-Career,West,Credentialed,False,Member
A0782,E024,2023-05-01,2023-08-16,Webinar,Online,Topic 3,Mid-Career,West,Non-Member,False,Non-Member
A0056,E120,2023-03-11,2023-07-23,Seminar,Miami,Topic 10,Student,West,Associate,False,Member
A0578,E042,2022-09-07,2024-08-09,Annual Meeting,New York,Topic 2,Executive,North East,Non-Member,False,Non-Member
A0588,E137,2022-01-29,2022-02-16,Webinar,Online,Topic 14,Student,West,Associate,True,Member
A0806,E161,2022-06-24,2024-02-03,Local Chapter Event,Chicago,Topic 2,Executive,North East,Credentialed,True,Member
A0470,E089,2022-03-12,2022-09-26,Local Chapter Event,Chicago,Topic 19,Executive,West,Credentialed,True,Member
A0269,E119,2024-10-18,2024-11-14,Webinar,Online,Topic 4,Student,West,Non-Member,False,Non-Member
A0569,E199,2022-02-02,2022-06-22,Webinar,Online,Topic 6,Executive,North East,Credentialed,False,Member
A0918,E055,2024-02-21,2024-10-13,Workshop,New York,Topic 2,Mid-Career,International,Associate,False,Member
A0303,E087,2022-01-02,2022-01-05,Workshop,Miami,Topic 15,Senior,North East,Non-Member,True,Non-Member
A0022,E065,2022-01-06,2023-02-05,Workshop,Houston,Topic 19,Entry-Level,West,Non-Member,False,Non-Member
A0762,E163,2022-04-12,2023-03-23,Webinar,Online,Topic 6,Mid-Career,South,Credentialed,False,Member
A0583,E174,2022-05-22,2023-10-07,Workshop,Chicago,Topic 14,Mid-Career,West,Non-Member,False,Non-Member
A0138,E066,2022-08-17,2023-04-15,Seminar,Miami,Topic 19,Executive,North East,Credentialed,False,Member
A0686,E151,2022-03-28,2024-02-10,Webinar,Online,Topic 5,Mid-Career,North East,Credentialed,False,Member
A0397,E021,2023-03-21,2024-11-30,Seminar,Miami,Topic 1,Mid-Career,South,Credentialed,False,Member
A0033,E004,2022-11-05,2022-12-10,Webinar,Online,Topic 6,Senior,South,Credentialed,True,Member
A0739,E028,2024-09-10,2024-11-22,Annual Meeting,Miami,Topic 3,Mid-Career,South,Non-Member,False,Non-Member
A0766,E144,2022-08-23,2023-01-25,Local Chapter Event,Miami,Topic 15,Student,North East,Credentialed,True,Member
A0860,E092,2022-02-14,2024-10-09,Annual Meeting,Chicago,Topic 1,Mid-Career,International,Associate,False,Member
A0155,E099,2024-01-14,2024-03-12,Seminar,Chicago,Topic 19,Senior,North East,Credentialed,False,Member
A0883,E060,2022-03-31,2022-04-14,Webinar,Online,Topic 3,Mid-Career,International,Non-Member,True,Non-Member
A0568,E031,2024-06-17,2024-10-25,Webinar,Online,Topic 14,Entry-Level,Mid-West,Associate,False,Member
A0353,E167,2022-04-18,2024-09-10,Annual Meeting,Miami,Topic 2,Entry-Level,North East,Credentialed,False,Member
A0191,E018,2023-11-11,2024-03-26,Workshop,Houston,Topic 8,Executive,West,Credentialed,False,Member
A0583,E106,2023-04-29,2023-05-14,Webinar,Online,Topic 17,Mid-Career,West,Non-Member,True,Non-Member
A0862,E076,2022-11-14,2023-11-17,Annual Meeting,Chicago,Topic 10,Entry-Level,North East,Non-Member,False,Non-Member
A0812,E121,2023-03-09,2024-07-23,Local Chapter Event,Chicago,Topic 5,Senior,North East,Credentialed,False,Member
A0160,E084,2023-05-18,2023-07-29,Local Chapter Event,Chicago,Topic 17,Student,International,Associate,True,Member
A0166,E191,2022-08-18,2022-11-11,Local Chapter Event,Miami,Topic 1,Executive,West,Associate,False,Member
A0086,E062,2023-01-18,2024-05-27,Workshop,San Francisco,Topic 16,Senior,West,Credentialed,False,Member
A0718,E105,2024-06-17,2024-12-02,Seminar,Miami,Topic 12,Executive,West,Credentialed,False,Member
A0952,E111,2022-09-14,2023-04-02,Webinar,Online,Topic 3,Mid-Career,South,Credentialed,True,Member
A0307,E182,2022-10-29,2022-12-29,Workshop,Miami,Topic 18,Entry-Level,West,Associate,False,Member
A0676,E169,2022-04-16,2022-04-21,Seminar,San Francisco,Topic 16,Entry-Level,North East,Non-Member,True,Non-Member
A0903,E015,2023-04-13,2024-10-22,Workshop,Chicago,Topic 4,Mid-Career,North East,Credentialed,False,Member
A0235,E165,2022-02-25,2022-03-22,Local Chapter Event,Houston,Topic 10,Senior,West,Associate,True,Member
A0845,E105,2023-05-19,2024-12-02,Seminar,Miami,Topic 12,Mid-Career,North East,Credentialed,False,Member
A0697,E134,2022-12-31,2024-04-03,Workshop,Miami,Topic 6,Student,West,Non-Member,False,Non-Member
A0202,E114,2022-01-10,2022-03-03,Workshop,New York,Topic 13,Entry-Level,North East,Credentialed,True,Member
A0135,E114,2022-02-13,2022-03-03,Workshop,New York,Topic 13,Mid-Career,North East,Credentialed,False,Member
A0647,E041,2023-02-06,2023-03-18,Local Chapter Event,Chicago,Topic 3,Mid-Career,Mid-West,Non-Member,False,Non-Member
A0918,E004,2022-06-16,2022-12-10,Webinar,Online,Topic 6,Mid-Career,International,Associate,False,Member
A0205,E163,2022-04-18,2023-03-23,Webinar,Online,Topic 6,Mid-Career,International,Credentialed,False,Member
A0146,E111,2022-11-15,2023-04-02,Webinar,Online,Topic 3,Entry-Level,South,Non-Member,False,Non-Member
A0880,E155,2023-01-08,2023-05-03,Webinar,Online,Topic 8,Entry-Level,South,Associate,True,Member
A0870,E137,2022-01-22,2022-02-16,Webinar,Online,Topic 14,Entry-Level,West,Credentialed,True,Member
A0820,E163,2022-11-04,2023-03-23,Webinar,Online,Topic 6,Senior,Mid-West,Associate,False,Member
A0339,E055,2022-05-08,2024-10-13,Workshop,New York,Topic 2,Mid-Career,West,Credentialed,False,Member
A0940,E193,2022-03-30,2022-12-16,Seminar,New York,Topic 3,Mid-Career,South,Non-Member,True,Non-Member
A0848,E153,2022-04-03,2023-04-02,Seminar,San Francisco,Topic 13,Entry-Level,Mid-West,Associate,False,Member
A0303,E184,2022-01-04,2022-01-28,Annual Meeting,New York,Topic 17,Senior,North East,Non-Member,False,Non-Member
A0527,E001,2023-07-16,2024-05-10,Seminar,Miami,Topic 7,Entry-Level,South,Associate,False,Member
A0096,E157,2022-08-24,2022-09-25,Webinar,Online,Topic 12,Mid-Career,Mid-West,Credentialed,True,Member
A0349,E102,2022-05-21,2022-09-15,Annual Meeting,San Francisco,Topic 12,Mid-Career,South,Non-Member,False,Non-Member
A0051,E081,2023-10-04,2023-11-16,Seminar,Houston,Topic 19,Entry-Level,West,Non-Member,False,Non-Member
A0882,E155,2022-06-18,2023-05-03,Webinar,Online,Topic 8,Senior,Mid-West,Non-Member,True,Non-Member
A0481,E142,2023-04-17,2023-05-17,Annual Meeting,New York,Topic 1,Entry-Level,North East,Associate,False,Member
A0531,E127,2023-03-22,2023-05-15,Seminar,New York,Topic 13,Mid-Career,West,Associate,False,Member
A0966,E024,2022-09-24,2023-08-16,Webinar,Online,Topic 3,Student,International,Non-Member,False,Non-Member
A0694,E105,2024-07-02,2024-12-02,Seminar,Miami,Topic 12,Executive,North East,Non-Member,False,Non-Member
A0497,E184,2022-01-13,2022-01-28,Annual Meeting,New York,Topic 17,Entry-Level,South,Non-Member,True,Non-Member
A0494,E055,2024-02-10,2024-10-13,Workshop,New York,Topic 2,Entry-Level,International,Credentialed,False,Member
